DateTime,Acorn_grouped,stdorToU,LCLid,KWH/h (per hour)
2011-12-03 18:00:00,Affluent,Std,31,0.616172418391
2011-12-03 18:00:00,Affluent,ToU,6,1.172375
2011-12-03 18:00:00,Comfortable,Std,42,1.02539393939
2011-12-03 18:00:00,Comfortable,ToU,5,0.624375
2011-12-03 19:00:00,Adversity,Std,22,0.983658333334
2011-12-03 19:00:00,Adversity,ToU,4,0.830333333333
2011-12-03 19:00:00,Affluent,Std,31,0.838298851724
2011-12-03 19:00:00,Affluent,ToU,6,0.916375
2011-12-03 19:00:00,Comfortable,Std,42,1.23064648687
2011-12-03 19:00:00,Comfortable,ToU,5,0.49375
2011-12-03 20:00:00,Adversity,Std,22,1.0172
2011-12-03 20:00:00,Adversity,ToU,4,0.947
2011-12-03 20:00:00,Affluent,Std,31,0.864528735632
2011-12-03 20:00:00,Affluent,ToU,6,1.13299995
2011-12-03 20:00:00,Comfortable,Std,42,1.259
2011-12-03 20:00:00,Comfortable,ToU,5,0.58025
2011-12-03 21:00:00,Adversity,Std,22,1.33629169167
2011-12-03 21:00:00,Adversity,ToU,4,0.946166666667
2011-12-03 21:00:00,Affluent,Std,31,0.852425288506
2011-12-03 21:00:00,Affluent,ToU,6,0.8005
2011-12-03 21:00:00,Comfortable,Std,42,1.06638888687
2011-12-03 21:00:00,Comfortable,ToU,5,0.58225
2011-12-03 22:00:00,Adversity,Std,22,0.860758333333
2011-12-03 22:00:00,Adversity,ToU,4,0.990333333333
2011-12-03 22:00:00,Affluent,Std,31,1.69979307011
2011-12-03 22:00:00,Affluent,ToU,6,1.132124975
2011-12-03 22:00:00,Comfortable,Std,42,0.94553030303
2011-12-03 22:00:00,Comfortable,ToU,5,0.562125
2011-12-03 23:00:00,Adversity,Std,22,0.698433333334
2011-12-03 23:00:00,Adversity,ToU,4,0.576
2011-12-03 23:00:00,Affluent,Std,31,1.38275862299
2011-12-03 23:00:00,Affluent,ToU,6,0.40775
2011-12-03 23:00:00,Comfortable,Std,42,0.767626262626
2011-12-03 23:00:00,Comfortable,ToU,5,0.58525
2011-12-04 00:00:00,Adversity,Std,22,0.695108333333
2011-12-04 00:00:00,Adversity,ToU,4,0.392666666667
2011-12-04 00:00:00,Affluent,Std,31,1.16010344828
2011-12-04 00:00:00,Affluent,ToU,6,0.30325
2011-12-04 00:00:00,Comfortable,Std,42,0.551202020202
2011-12-04 00:00:00,Comfortable,ToU,5,0.50225
2011-12-04 01:00:00,Adversity,Std,22,0.628675
2011-12-04 01:00:00,Adversity,ToU,4,0.333333333333
2011-12-04 01:00:00,Affluent,Std,31,0.464022988506
2011-12-04 01:00:00,Affluent,ToU,6,0.285875
2011-12-04 01:00:00,Comfortable,Std,42,0.508343433333
2011-12-04 01:00:00,Comfortable,ToU,5,0.4205
2011-12-04 02:00:00,Adversity,Std,22,0.311683333334
2011-12-04 02:00:00,Adversity,ToU,4,0.315666666667
2011-12-04 02:00:00,Affluent,Std,31,0.374321842529
2011-12-04 02:00:00,Affluent,ToU,6,0.2115
2011-12-04 02:00:00,Comfortable,Std,42,0.3495
2011-12-04 02:00:00,Comfortable,ToU,5,0.3385
2011-12-04 03:00:00,Adversity,Std,22,0.305375
2011-12-04 03:00:00,Adversity,ToU,4,0.3165
2011-12-04 03:00:00,Affluent,Std,31,0.335977012644
2011-12-04 03:00:00,Affluent,ToU,6,0.18925
2011-12-04 03:00:00,Comfortable,Std,42,0.306580806061
2011-12-04 03:00:00,Comfortable,ToU,5,0.201125
2011-12-04 04:00:00,Adversity,Std,22,0.264583333334
2011-12-04 04:00:00,Adversity,ToU,4,0.733
2011-12-04 04:00:00,Affluent,Std,31,0.311609195402
2011-12-04 04:00:00,Affluent,ToU,6,0.175125
2011-12-04 04:00:00,Comfortable,Std,42,0.321691919192
2011-12-04 04:00:00,Comfortable,ToU,5,0.189625
2011-12-04 05:00:00,Adversity,Std,22,0.255466666667
2011-12-04 05:00:00,Adversity,ToU,4,0.730833333333
